Ticket,Problem,Solution
,"I am having issue with mobile and computer syncing for One Drive application. Might be because of the name change process.�currently, in my computer one drive storage path is C:USERS:PiPatel. But it should be�VePatel after the name change so the phone isn't syncing together with the path on the computer.",uninstalled and reinstalled one drive on his phone and it is updated now
,All my tickets for application downloads are coming back to my email saying i forgot to submit when i already did,Advised user to check out their cart after submitting tickets.
,"Changed password on Monday, had trouble connecting to server, I.T. assisted in connecting... since then not able to read older email (not connecting to server), or select email recipients in PeopleSoft Financials",recreated the Outlook profile and tested Ok.
,"Phone does not notify of Voicemail Messages, and others in the office their light does not turn off when no messages.",Digit conversion for outgoing calls from SM
,"Need to update drivers for monitors , as I am encountering issue with second monitor not being able to work","Home monitor isn't working
Ran updates - didn't work 
Tried pin reset at bottom didn't work
power brick is warm
tested docking station and charger works - unfortunately the issue is with the personal monitor. "
,the accela program wont allow me to log in. when i open the program it just spins and the screen to log in my credentials doesnt show up,Please clear your browser History to resolve the issue.
,Receiving error message when attempting to login to cityworks and SharePoint for user ghorton.,gave client site link and he was able to log in
,Security Alert - outlook office 365 certificate revoked,Issue was from MS end and fixed during the weekend.
,The VGA connection is not working on the docking station.,replaced dock resolved issue
,"ICON TN3270E Service message 524, The PU is inactive for LU TATGE135. You may continue to wait or terminate your session Error message appears on my ICON screen.",provincial outage
,"I accidentally put the number 1 in the keyword search under the registration browser, and because of that my registration has been continuously loading. I have cleared my history and it is still loading.",recommended reboot
,I cannot access the EDC report but I hve been getting the daily email from HR,User do not have COB RT Report Inquire role on his user profile in meonline and after giving this role the issue is fixed. We have received confirmation from user on teams.
,I am not able to send emails - they are stuck in my outbox,open/closed outlook seems to have sent emails now. 
,Sometimes invites do not show up in other people's inboxes,"Somehow the meeting request had a glitch when it was sent.
Advise client to send out a meeting update.

Once meeting update was sent she received meeting notifications"
,"MAG zip file is not downloading and allowing me to save to a new location. This is a zip file that I am trying to download, rename and save to OneDrive but i keep getting an error message: Windows cannot complete the extraction. The destination file could not be created.","extracted using 7zip, asked for password, file extracted"
,The cash drawer at POS1 at the Bramalea Terminal is not opening after transactions are processed.,The cable was plugged into the wrong port on the printer
,hi i can i'm not able to um get access to my laptop it won't accept my password it says the account is inactivate can you please help thank you,account locked
,"i called in the other day regarding outlook duplicating my calendar invites a new profile was created and that temporarily solved the issue but it started happening again this morning

outlook calendar diamond icon and duplicate invites sent",used web version
,We have 3 portable radios that are not working on Channel 2 and require programmed as soon as possible as they are required for Summer Camps.,"Two Kenwood TK3302 and One Kenwood TK3402 radios re-programmed and delivered on July 03, 2024."
,"a meeting invitation in the outlook calendar has multified numerous times and i don't know how to resolve it.

Outlook, meeting invite in time slot showing up 20 slots, in one time slot, meeting invite showing up multiplied itself and numerous times, 20 more, 24 times. 

Accept one change or all changes, all changes, so it was a synchronizing issue. Reporting outlook calendar issues.

Created new meeting at 10:01AM, then deleted the original 10:00AM that were duplicated 24 times. All 24 were deleted, expect new one.","Created new meeting at 10:01AM, then deleted the original 10:00 AM that were duplicated 24 times. All 24 were deleted, expect new one."
,Unable to log into ICON - The session has been terminated,reset
,"Access to printing

client tried username BSrithar but still get authentication failed. tried withouth tapping card and same message
i had her change her password and try again on  the printer and same message authentication failed",Gave client instructions for printer
,i'm unable to access the i t service desk um it just gives me access denied when i try to access it um i'm also unable to access any of the iveal point work for forms um including like the employee data change um i'm able to access it but i'm not able to access my previous time,"client has his name change and login with new account - gets message access denied when opening ISM self serve. he is able to access all other network with new login fine(email, sharepoint etc)
his new acct aj.sousa@brampton.ca"
,when I open my calendar the blue button with the Teams option is missing,"Updates disabled add-ins for teams

https://learn.microsoft.com/en-us/microsoftteams/troubleshoot/meetings/resolve-teams-meeting-add-in-issues

File > options > add ins

reenable teams"
,The client would like some assistance login into printer,Provided the client with her SAM login
,"attempted install of build image update at Fire Officers' desk at JFCC.
Update failed (one attempt only)",i installed 22H2 on the docking station. i had ran all actions and also did a gpupdate. i cleared cashes and also cleared deleted some files out of the C drive
,"Receipt printer not printing when pressing print receipt. No paper is being dispensed either. Checked for Jams, old rolls, ect.",USB Cable come unplugged from the back of the printer
,"HP printer not printing.
IT tech was on site, connected printer and is working however printer is not printing jobs out.

It does print the report to say the printer is working.

Need this issue fixed as soon as possible
Please",Had to install the Full Printer Suite not just the driver
,"i currently i recently got a new phone and the offent the hitter up won't let me log into my teams or my email on my phone

On Authenticator, asks for code.
Client got new phone, re-required registration
","MFA set up properly by confirming on Microsoft Azure, Usable authentication method, and Checked that client is removed from MFA_User_Exception and added to MFA_Regular_Group"
,customer service representative at century gardens is unable to log in to pm scan due to no password being accepted,set up new password
,"i am unable to relock time entry after making corrections

i do need to go back in and have payroll unlock so that i can fix it doesnt let me relock myself",The System has been locked.
,"Client got landline phone set up with extension. The only issue is the phone doesn't ring when it is directed to the pro shop. Client, Matt Steane, takes calls from them in the supervisor office when the pro shop is busy.

Client would like phone extension from Peel Village Pro to ring in the supervisor's office additionally. 
Client/supervisor's extension is 18002, the Peel Village Pro Shop's extension is 42998",add pro shop line to users phone.
,Audio is not coming through on my laptop.,Swap Speakers
,"Client requested a folder on teams sharepoint page

Sharepoint page:
https://bramptonca.sharepoint.com/sites/CPT00184/Policies/Forms/AllItems.aspx

Client required to fill out Service Request from Self Service, Service Catalog called:
Sharepoint/Website

and select Request Type: New Sharepoint Folder","Client required to fill out Service Request from Self Service, Service Catalog called:
Sharepoint/Website

and select Request Type: New Sharepoint Folder"
,"My new foreperson, Dave Sansford has no IT profile, email, or desktop phone",advise to submit onboarding rfa
,Need to replace desk phone headset.��Current one is a wired plantronics earpiece.��Thank you.,Told to make service request ticket for it
,there is 2 adobe updates that have failed to install. I've tried several times.,update is not available from software center.
,New city laptop has an error when I try to login on outlook,"Client used shared computer and advised client to use Outlook web, which worked out for client."
,"They do not appear to have a Canon ID. When they put in their passwords and email, it does not work. They also tried their computer usernames, but to no avail. ",Instructed user on how to setup card for printer
,"Hi, I am unable to download Power BI from the software centre as the download simply fails. I tried downloading under Brampton Corporate Wifi and No VPN was used,",EUC manually installed Power BI
,Not able to add MS Teams meeting directly in outlook,"Repaired teams add on through Add or Remove Programs, modify and repair teams add on"
,Inactive user needs to be updated in groups User is still an active employee but the account is set to inactive. All AD groups are missing for the user ,Informed user a computer account RFA will need to be submitted
,"When trying to install and run ArcGIS, every the program was crashing and failing every time I tried to do anything. I was recommended to uninstall it, and when I did that, it uninstalled on my computer, but the software center still thinks I have it and won't let me redownload it.",reinstall the applicaiton at software center
,Need to install SQL Server Mgt. Studio in my laptop for testing in CSG S/W Replacement Project,advised client to submit software rfa
,I am getting a msg for incorrect username/password but the password is working everywhere else and I haven't changed it,Browser cache and history cleared
,Teams Links are not being Added to Meeting Invites automatically.,Disabled Teams Addin in outlook
,"at home, monitor and laptop were working fine. then it glitched, and i thought the monitor broke. Come into work today and connect to docking station and monitors won't work",ran lenovo updates and reboot and screens seem to be working now
,"After of week of not using Authenticator on my mobile device, now I can't log into my iOS device on web browser or CityWorks.��Message I am getting is: Your sign-in was successful but does not meet the criteria to access this resource...��Please provide me with steps to fix this issues",MFA Enrolled
,mouse and key board dont work when plugged into the docking station,Lenovo Updates ran. The wired mouse and Keyboard are now connected
,Unable to add teams meeting link to my calendar invites,"Repaired Add-on for teams, similar to previous ticket. Switched teams to new version. Client is able to add teams meeting links to calendar invite."
,I do not have access to the TLMS or the folders on the G drive even though my manager gave me access,"Client has access to G:Drive, restore network drives and client was on corporate network already. EDC not keyed"
,issue with laptop trackpad not showing mouse.,"ran lenovo updates- none appear to be for the mouse pad, but will run it anyway.  Client advises that this has been an issue since she got it about a month ago.  She has a habit of travelling from and to work with the laptop turn on.  She travels half an hour.  Advised to have it shut down if it is going to be in a bag of any sort.  She will take it out of the bag when she gets to the car so it does not over heat the circuits.
Rebooted and it appears to be working again.  "
,"I have an issue in my outlook, not able to open emails.","restarted pc, and computer was able to connect to the server"
,I cannot access my city Microsoft account on my android phone. The message pops up saying Annette.Ali@brampton.ca does not exist,"User was on Andriod

Cleared Teams data through andriod settings app"
,MY ID card does not print at all. when i tap it tells me to put in username and password and when i do that it says authentication failed,told client first time setup instructions
,"I was using the new Teams, all of sudden the keyboard stopped working and the computer automatically deleted my emails - I am not sure what happened, had to force to turn off the laptop as restarting didn't work. I am not sure what happened but want to be careful before I open my outlook or any other work on this laptop",reboot seems ok and also ran scan on system ok and also ran lenovo updates
,I can not access city works. My username and password is correct but it wont let me log in. I'm not sure the problem,MFA setup - complete
,im not receiving emails,Created a new mail profile for the client. She is now able to see new emails now
,My monitor doesn't connect to my laptop but connect to my personal laptop. It seems something is wrong with my laptop as it happened like 4pm and it was ok before.,Ran lenovo updates
,"Hey IT, my PMscan password got reset but I have no idea what it has been reset to",account reset through smart client
,I am unable to offer or swap shifts on teams. It keeps saying you can only send offer or swap requests for your shifts.,Issue has been resolved at Microsoft end. Please check and let us know if issues re-occur.
,When trying to open a PowerPoint it says The location may be unsafe,Change file permission option unblock
,one drive access issues fixed few days ago and happened again. please advise how I can do it whenever it happens again.,showed client how to lauch one drive app if it is not running
,I got my docusign account activated but i wanted access to generate letter from docusign and not to just sign.,Elevated access provided upon receiving approval
,I setup MFA but still cant login to my account outside of work,removed from exception group
,"print jobs not in queue

Documents I printed this morning are not there when I tap onto printer - Screenshot attached for my queue 
",installed advanced drivers for the user
,My email isn't working to log in to meOnline,"User has cleared cache 
Account is not disabled on AD or meonline"
,"Staff unable to access TLMS or MeOnline

Staff member is a new employee as well.",Name spelt wrong in IAS
,I haven't been able to connect to the corporate wifi for the past few days. I've been using the public network,Needed to switch to corp wifi and forget public
,Client email is not being received Please unblock this email ,E-mails released and the details provided
,I am currently receiving voicemails to my email inbox that are for Sharon Caruana.��Wondering how to go about fixing this.,removed email from the voicemail using the avaya portal
,Unable to access Telestaff Roster,Application restart addressed issue
,"When I am using Visio (daily basis) once Visio has been opened for an hour or so, or I change screens, half of the document isn't loading, or all I am seeing is an outline of my document, not the full details of visio",Ran disk cleanup and repaired Office Apps
,I have been added to the new mailbox but still do not see it in my outlook,Add mailbox group
,Microsoft office (email) not opening.,ran gpupdate /force; then had client sign out and sign back into Teams
,Unable to log into Peoplesoft or BPM - no error messages appearing. Password and username are correct.,password expired
,"New MFA app is installed and set up on my personal device, however I still cannot access my emails.",moved to group
,I have MFA setup on my old phone but now i got new one. how can i transfer it to new one,MFA reset
,"My laptop has no volume to it; I can't hear anyone in teams, notifications or through Avaya",ran lenovo driver update
,My username and password aren't working to log in to Archibus.,profile udpated
,"Netscaler vpn was working yesterday,  after update, was not working, but able to connect through vpn.brampton.ca link, able to do run all actions and gpupdate/force and trying to reinstall vpn


Running system updates and ran gpupdate/force and run all actions will call back once updates done and reboot computer will reinstall vpn

I couldn't login the VPN


Connection appears to be correct
Version is correct 

was working before update ","After thoroughly checking logs deleted Agge folder from user profile, which fixed the issue"
,I am unable to sync the TMP 2022 and Transportation Planning Sharepoint sites with my OneDrive.,Synced through sharepoint and uploaded to City of Brampton Onedrive
,I thought I have installed MFA on my cell and laptop but it looks like I did not do it correctly.,mfa setup completed
,"Sign in on phone indicates successul MFA but does not meet criteria to access resource. Phone cannot be used outside of COB office, MFA on phone and in use.",Removed from Exception list and added to Regular User group.
,when I'm on the road I cannot reach the www1.brampton.ca webpage to access work related materials. Same link works while I'm in the office.,"The client's browser cache was reset, and the incident has been resolved."
,I keep getting notifications that there is a virus on my laptop,Cleared edge cache and history - Ran Defender and MS safety scan
,"Hi, I can't access my meonline. It tells me to contact my system administrator
Authorization Error -- Contact your Security Administrator",EDC not keyed yet.
,I have been given access to Capital timesheets but cannot login. When I try logging in using my brampton email as my Username it tells me invalid username or password,reset password
,The receipts for A2G are lagging it taking some time before printing. Can we please look into this.,requested log files be archived to improve performance slowdown
,"after i changed my password, i can't access the network drives. it says they are inaccessible because my username or password is incorrect. i don't know how to input my new password for the drives.",had client lock and unlock while on vpn and restore network drives and it works now
,"slow in uploading documents and receiving email on laptop

Client reported that her laptop is working very slow, she is unable to upload any documents to Sharepoint and also her mail is not updating since 3 days.",Ran the Lenovo updates and it fixed the issue.
,the harmonie sidebar is asking me to purchase a license...and i'm getting an error message about scripts not running.,copied the Harmon.ie file to users profile under C drive and it is working fine.
,I am trying to log into Office but it wont let me.,installed the Base o356.
,I added our general email to my outlook account and now the app won't open at all,"Mailbox that client added was done incorrectly.
Removed mailbox and showed client how to add it"
,When working from home my computer will connect to the VPN then stop loading any web applications on any web browser. Running a windows diagnostic on the problem tells me that it is an error with the DNS.,needed to install new version of netscaler
,When I connect to the VPN I am disconnected from the internet.,VPN connection issue was caused by clients router. Had client restart the router and client is now able to connect to vpn and have Internet access
,"The swap/offer shifts option on Microsoft Teams is not functioning correctly. When I click on the swap/offer request, I am redirected to the page with all my shifts rather than the option to accept or decline the request.","Most Issues has been resolved by Microsoft (MS). For swap / notifications issue, we  work with Microsoft as it is a product issue."
,"Spare laptop screen is ""shaking"" on external monitor�",advised client to power off laptop; undock laptop; then re-dock laptop with lid closed and to power on laptop using power button on docking station; advised client to call back if she still has issues instead of doing web chat�
,meonline not working password incorrect,reset user pwd
,Cannot connect to corporate internet. It says I need a certificate to join.,"deleted the old certificate, rebooted computer and client is now able to connect wirelessly."
,ERROR MESSAGE WHEN PRINTING- CANNOT PRINT,; client advised issue has been resolved after doing restart on computer�
,"How large can an attachment be in an email we are sending. My presentation is 171,000 KB and will not send. It needs to be an attachment, not an online link to be sent.",helped customer with what size of files he can send in email
, Can't login to laptop saying domain name unavailable. Can someone please call me?,device not connected to the ethernet
,"Teams meeting option missing In outlook, in calendar, the microsoft teams option is gone.",added -MS Teams in add-in in client's outlook
,"Sherry Zhang had access and was on one of my teams in SHIFTS. She has disappeared, and attempts to re-add her are resulting in an error message","was accidentally deactivated. Reactivated, issue resolved."
,I updated my password on my computer today.��Now my outlook on my phone is no updating Outlook update on I-phone,Mail app needed to updated
,Printing a PDF File and receiving error message. The document could not print. Acrobat Adobe printing error message,changed the print properties to print as image
,Docking station does not seem to be connecting properly with laptop and monitor. Monitor loses connection throughout the day.,ROTO
,canon printer wont authenticate to login,advised client to use her SAM username to log into the printer
,Can you please check to see if I have access to perfectmind. I'm having issues logging in with my current password,PM account was locked and password was reset.
,I have been trying to print a document without any success. Others are able to print. just me having the issue,Made Canon print anywhere her default printer
,Just got a new laptop upgrade and having issue with the screen. The image is frozen onto screen and there are lined across it.,Wrong Driver by Lenovo
,Paul's calendar is not synching to show the updated meetings on his work phone.,"changed default calendar view to intune exchange online, had client sign into resync calendar, tested and its working now;"
,"Hello! I'm trying to add a shared inbox to my outlook account but it is not working after I followed the steps provided to me.

Client started livechat, Client was not added to mboxgrp_escooters. Client contacted the person responsible for the shared mailbox and she was added in however it still did not show up on mboxgrp_escooters.  Shared mailbox did not show up in Microsoft 365 (browser version).

The client recently had gotten access to the shared mailbox so she should possibly wait a few hours for the issue to work. She could now open and expand the mailbox but emails aren't showing up. She is connected to VPN as well.","Need to be added to mboxgrp_escooters in manage groups, wait a few hours for mailbox to load."
,My teams will not allow me to log in. The error message is; We couldn't connect to the internet. Try checking your connection.,"Microsoft had a large global intermittant issue with teams, has been resolved by the vendor."
,cant access meonline due to java script error,Clear cache
,It keeps saying operations failed though I see the notifications stating that the teams application is up and running again?,Request client to reboot laptop. Ms teams is now working after reboot
,"Hi! I have access to a shared mailbox but emails I reply to are showing in my personal sent folder instead of the shared mailbox's sent folder. Is there a way to fix this?


Notes:
	- When colleague replies to a email in the shared mailbox it appears in the sent folder, however when Sara replies to a email in the shared mailbox it does not show in the shared mailbox sent folder.
	- Advised client to open up the shared mailbox in a web browser so its the only profile, however she states that her colleague is not doing that.",Config updated for the mailbox
,email from our project consultant doreen@robinsonglobalmanagement.com are not getting through. She is not receiving a bounce back. Can you check if she is being blocked by our servers?,E-mails have been released. E-mails being marked as phish because of the image attached to it. Asked the user to update sender not to insert those.
,Meonline not working.,"Clearing cache fixes meOnline issue, and Bginfo can be found by searching for it in the search bar and reopening from system tray (up arrow on bottom right)"
,I am trying to check my vacation days but I get a javascript error and am unable to open any pay stubs.,clear internet cache and works fine now
,"hello, I need access to be able to print for camps, I am an Inclusion specialist and want to make sure I have acess to Cannon Everywhere",Installed Print Anywhere driver
,"I can not login to the printer to be able to print. This would be my first time using the new system, but it is not accepting my COB login credentials.",Provide client with his SAM Login
,"I am trying to plot a drawing file but both the plotters are paused and I am not able to resume printing.
it was working earlier and when he goes to the settings - he cannot change it to unpause - it is greyed out
his other colleagues can print to the plotters ok
reboot same plotter are paused. he can print fine to other plotters and printers

PLOT-WWOC2-HPT2300
PLOT-WWOC2-iPF825",Removed the old Richo Printer Driver and Installed the new drivers from the new Canon Server
,"a2g cahier is not launching. it stops halfway through loading. ""Employee is not valid for this location""","User AD account password was reset. User restarted computer/waited 24 hours for changes to take effect, account access was restore automatically"
,"I have been having difficulties with my login information when it comes to using the printer. I have not been able to make any prints off of my account this summer. Though, my login works elsewhere.",Provided client her login name when login into printer for the first time
,"Hi there, at Gore Meadows the Xplorer is very slow for some of us. I am not even able to process the payments.","COB Corporate firewall was blocking a domain which hosted ""Log Rocket"". This caused page loads to take more than 20 seconds. Network team has investigated and adjusted firewall rules/updated trustworthiness of the domain as appropriate"
,Please��route to Jeremy Sirois- windows account no longer linked to perfectmind after Windows password reset for Tanveer Kaur,Password manually reset. First login to xplor used email + password. Subsequent logins successfully used AD login
,"I was unable to access Triton for my first time login. When I was first sent the email to access my account I was required to set my own password. The email I was sent had a username and password that I was given for a first time login so i could set my own password. The website ended up timing out as I had left the page open for too long and I was not able to re-access the website with the password I was given. I was then locked out from Triton as I attempted to sign in too many times. The requests I am sending to reset my password also do not seem to be going to my email, it is going to someone else who is managing my account.",user password issue forwarded to Triton tech help
,"Hi there, I'm trying to log in to MeOnline and MyTime for the first time but continue to run into login error messages.","Email address, UPN and SAM was updated"
,"Employee transferred from Operations to Maintenance and now has no access to Portal, MeOnline etc",Waiting for account to synic
,I tried scanning my card and logging in using my Brampton email but I'm not able to login to the printer at 8 Nelson,Provided client with his SAM login account
,Getting the error message while printing from Adobe,"gpupdate, reboot fixed the error"
,"I can not access Microstation Connect. I am working from home, but connected to vpn. I have not run into this problem before. It won't allow me to open to program, or files located on the computer itself.

Issue is only with Microstation, program closes when client tries to open a file. Client tried restarting computer, and connected to VPN, but same error occurs, which states Administrator is denying access. Client would like issue resolved urgently.","User confirmed license works properly now,"
,I am unable to clock in or clock out from my phone on teams,"Unfortunately we cannot assist with personal devices.

Unistall and reinstall the app."
,I picked up my new laptop yesterday and am now working from home today. I have a Thinkvision monitor at home that has VGA input. I purchased a USB-C to VGA adapter but I can't get the display settings to function properly and I have a flashing message telling me the input signal is out of range. Is there anything that I can change to support this or is a new monitor required?,advised client to use port replicator
,"When client tries to respond and forward reports created from our media monitoring platform cision, an error message pop up on outlook saying cannot send this items. Works on web version. Local space is not an issue and forwarding permissions look normal.",Outlook desktop has cap on how long links can be. By using Web version to click send will bypass desktop limitations.
,I keep getting a reload message when I try to access people soft,Internet connection disconnecting and causing VPN to disconnect may have caused interruption on the website. Once signed back in to VPN the issue was resolved.
,"Not allowing me to send a meeting invitation with Teams meeting option

I submitted the below ticket regarding not being able to send out calendar invites with Teams meeting options (with call in options). I was able to do so up until last week so not sure why it�s not allowing me the option no","Unchecked addon. Closed Outlook.
place a checkmark back on Teams addon.

Teams option is now displaying"
,"I can't recall my password and am off site needing to connect to VPN.

Not able to log into VPN; but is able to log into using old password ",have forced in AD to use client's old password so that client can login into VPN; then walked client through on how to change password; have advised client about new password requirements; have advised client to wait 24 hours to change password again as system did not allow client to change password so fast
,Microsoft Forms Don't have access and need access to make surveys for trainings,Told client to submit Software RFA for MS forms
,"My password to logon onto my computer works fine, but the password to logon to the COB system doesn't work after I just ran an update on my laptop. Can it be re-set, pretty please?","Reset password,"
,"My Microsoft apps keep crashing and only open in safe mode

Tried gpupdate /force and working on repairing MS 365, along with system update and software centre updates. If client still has issues will uninstall and reinstall MS 365. Outlook crashes, and MS word occasionaly crashes and Outlook can only be ran in safe mode.

Running system updates as well so client does not have driver issues, issue was fixed by reinstalling microsoft 365.",Reinstalling Microsoft Office fixed the issue
,Unable to connect my laptop to the Brampton Corporate Wireless Network. So I am unable to print.,client acct expired
,Having trouble logging into citrix secure access for vpn connection. Password doesn't seem to work.,client will call in with her emp # and request the automated pwd reset.
,Hello:��My city laptop appears to have a virus.��What should I do?,"pop up ads were removed from chrome
scan was run"
,Outlook unable to open,Client advised shared devices do not allow local Outlook app use
,Everytime i try to login through perfectmind it says login failed. Unable to use my perfectmind account and run through the interface and check schedules and manage purchases,account manually unlocked
,Netscaler VPN wont let me connect in order to enter my credentials and change my password as instructed in the email I've received,Changing password from CTRL ALT DEL instead as client was in the office.
,"For the 2nd time, my computer completely went haywire. Laptop screen had nothing but static and lines. Not a blue screen, but frozen with just garbage on it. 2nd monitor was dark. I could only do a hard shutdown and reboot.",laptop swapped
,My computer has been very slow and lagging for the past week.,ran driver update and reboot and client says laptop running better
,Users need to know how to properly check a file in and out in Bluebeam for editing.,"To edit a file in Bluebeam, right-click the parent folder ""AccelaPROD"" and select ""Sync,"" locate and open the file, right-click the document tab to ""Check Out,"" make necessary edits, save changes, and check the document back in upon closing."
,Users need to activate distribution tasks in Accela without supervisor access.,"Log into Accela, navigate to the relevant record's 'Workflow' tab, click 'Task Activation,' select 'Review Distribution,' choose the relevant departments by clicking the 'Active' checkbox, and save your selections."
,"Users need to change distribution departments in Accela after submitting the ""Review Distribution"" task.","After submitting the ""Review Distribution"" task, navigate to ""Supervisor"" settings, reset the task by setting ""Task Complete"" to 'No' and ""Task Active"" to 'Yes' in ""Workflow � Task Supervisor,"" then resubmit and reselect the relevant departments."
,"The process for sending emails to the EmailGRP_AllCorporateStaff group needs to be clarified, especially regarding restrictions and access.","By default, only the CAO and Departmental Commissioners can send emails to EmailGRP_AllCorporateStaff, with event leaders needing approval from the Director of Strategic Communications; additional access must be pre-approved by the Director of Strategic Communications, email content responsibility lies with the author and Strategic Communications, and the IT division manages the permissions list, with the Service Desk Manager owning the SecGRP_AllCorporateStaff permissions group."
,"Users need guidance on setting up a Samsung 32"" monitor with a laptop via docking station or with a desktop/tower PC.","For laptops via docking station, run Lenovo Updates to install the latest Display Adapter driver and Docking Station Firmware, and use an HDMI cable if available; for desktops/tower PCs, run Lenovo Updates to install the latest Display Adapter driver and check for updates from the manufacturer's website if necessary, and ensure users test resolutions and settings before leaving the location."
,Users need to clear their cache in Accela to resolve issues caused by software being out of sync.,"From the homepage, click the Foursquare icon, type ""Cache"" under ""All Pages,"" select ""Clear Cache,"" check the box beside ""Cache Name"" to select all items, and click ""Clear."""
,Users need to know how to reinstall the Neurons Agent on a computer to reconnect it with Ivanti servers.,"To reinstall the Neurons Agent, either force a check-in by running STUILauncher.exe from C:\Program Files\Ivanti\Ivanti Cloud Agent, or reinstall the agent by running IvantiCloudAgent.exe from Q:\Public\DI&IT\Ivanti Neurons Agent Install, then follow the registration and check-in steps to ensure the agent reconnects and syncs with the servers."
,Users need instructions for installing or updating TXM Tax Manager 4.,"Install TXM Tax Manager 4 from the Software Centre, which deletes the old version and creates new shortcuts; then, select TXM4PRD, log in using existing credentials, and keep the additional command prompt window open to prevent closing the TXM4 application."
,Users need to set up auto-replies for a shared mailbox in Outlook.,"Sign into the Exchange admin center with your Office 365 account, open the shared mailbox by selecting 'Open another mailbox,' click the Gear icon, go to 'View all Outlook Settings,' navigate to 'Mail' -> 'Automatic replies,' select 'Send automatic replies,' enter the reply content for internal and external users, and click 'Save.'"
,A manager needs to handle timesheet approvals during their vacation period in MyTime.,"The manager can delegate authority to another People Leader within their division who also manages employees. Delegation to someone in an employee role (e.g., administrative assistant) requires submission of a Request for Access (RFA) Form through IT Self-Service - ISM to gain access for timesheet approval during the manager's absence."
,"Ensuring safe and accessible deployment of Health and Safety iPads, previously stored in an open-access service center, now requiring scheduled visits due to COVID-19 protocols.","Health and Safety iPads are now stored on the 6th floor in separate sections of a cabinet labeled for their respective owners; when returned, iPads are placed on the correct side of the cabinet. Clients requesting iPads are booked for appointments to pick them up, where they are configured with AgilePoint software; if clients lack AgilePoint, IT assists in installation and setup before scheduling pickup appointments."
,Users need to know how to request print services from the Print Shop.,"Solution: To request print services:

Visit Self Service.
Type 'Print Shop Request' into the 'How can we help you?' search bar.
For contact details:

Tel: 905-874-2294
Email: BramptonPrint.Centre@brampton.ca"
,Delete Windows profiles to free up space,"Important Note:  If the PC has A2G installed on it, complete the steps in the 'A2G POS User Profile Clean Up' document before cleaning up profiles.

See Attachment tab for instructions.

1.  A2G POS User Profile Clean Up
2.  How to delete Profiles to Free up space"
,Users need to understand the process for sending emails to the EmailGRP_PeopleLeaders distribution list.,"To send an email to EmailGRP_PeopleLeaders:

Ensure you are a member of the SecGRP_PeopleLeaders security group, managed by Jennifer Dow or the Exchange team.
Obtain approval from your manager via email.
Contact Grace Cirillo, who manages EmailGRP_PeopleLeaders, to add or remove members from the distribution list for receiving emails."
,Users need installation instructions for Transit Mechanic / Shared Machines at Sandalwood and Clark.,"Follow these steps to set up Transit Shared / Mechanic Machines:

Image the machine with the standard COB image.
Move the computer name in Active Directory to either Brampton.ca\ClientSystems\Win10\OneOffs\TransitClarkMechanics or TransitSandalwoodMechanics OU to add it to the No ScreenSaver Group (End User Computing).
Configure AutoLogin using the account SVC_TransFlt_Clark or SVC_TransFlt_Sand, managed by Sumit Riyat.
Install the Transit Shared Machines � Set Desktop Shortcuts Bundle for configuration.
Test the configuration by rebooting the machine and ensuring auto-login, desktop shortcuts for Google Chrome and Internet Explorer prompting for credentials to load SharePoint, and shortcuts for M5, AVM, and Smart Transit launching respective programs.
Deploy the machine to the appropriate location after successful testing."
,Users need instructions to change their password on a Corporate MacOS computer using Citrix VPN.,"To change your password on a Corporate MacOS computer:

Ensure you meet the requirements: working on a Corporate MacOS computer, connected to the COB primary network (City Hall - Preferred) or via NetMotion ""COB VPN"", and have the latest Centrify client installed (version 5.7.0-224 or newer).
If offsite, connect to NetMotion VPN by toggling the slider bar on.
Open System Preferences, navigate to Centrify, and confirm CentrifyDC shows ""Connected"".
Open Users & Groups in System Preferences.
Select the lock icon, enter credentials, and unlock to manage Users & Groups.
Ensure your account is selected, then choose ""Change Password"".
Follow the instructions to enter your old password and the new password twice; the new password must be at least 12 characters long with alphanumeric and special characters.
Password change is complete once done."
,perform a hard reset on their iPhone or iPad.,"To perform a hard reset:

Press and quickly release the volume up button.
Press and quickly release the volume down button.
Press and hold the side button until the Apple logo appears.
Release the side button when the Apple logo appears to complete the hard reset process.




"
,To find out your real-time data usage:,"Open iMessage.
Compose a new message.
Enter ""4444"" in the ""To:"" field.
In the text message field, type ""Data"".
Tap Send.
Your data usage details will be texted back to you shortly after sending the message."
